FileName,Model Name,Test Id,Is_Valid,T0.0 (h),T0.25 (h),T0.5 (h),T0.75 (h),T1 (h),T1.25 (h),T1.5 (h),T1.75 (h),T2 (h),T2.25 (h),T2.5 (h),T2.75 (h),T3 (h),T3.25 (h),T3.5 (h),T3.75 (h),T4 (h),T4.25 (h),T4.5 (h),T4.75 (h),T5 (h),T5.25 (h),T5.5 (h),T5.75 (h),T6 (h),T6.25 (h),T6.5 (h),T6.75 (h),T7 (h),T7.25 (h),T7.5 (h),T7.75 (h),T8 (h),T8.25 (h),T8.5 (h),T8.75 (h),T9 (h),T9.25 (h),T9.5 (h),T9.75 (h),T10 (h),T10.25 (h),T10.5 (h),T10.75 (h),T11 (h),T11.25 (h),T11.5 (h),T11.75 (h),T12 (h),T12.25 (h),T12.5 (h),T12.75 (h),T13 (h),T13.25 (h),T13.5 (h),T13.75 (h),T14 (h),T14.25 (h),T14.5 (h),T14.75 (h)
growth.xlsx,LAB,E3-2 a KCl 25 mM (C08),TRUE,0.3427,0.3548,0.3172,0.3271,0.3487,0.3728,0.3921,0.4152,0.4429,0.4745,0.506,0.541,0.576,0.6064,0.6415,0.6784,0.7127,0.7448,0.7797,0.81,0.8411,0.8717,0.902,0.9353,0.9671,0.9936,1.0203,1.0478,1.073,1.0978,1.1211,1.1447,1.1693,1.1916,1.2091,1.2221,1.2326,1.2417,1.2462,1.2524,1.2568,1.2602,1.2622,1.2639,1.2645,1.2648,1.2649,1.265,1.2651,1.2643,1.2643,1.2641,1.2637,1.263,1.2632,1.2624,1.2624,1.2622,1.2615,1.2609
growth.xlsx,LAB,E3-2 b KCl 25 mM (C09),TRUE,0.3781,0.3719,0.3484,0.3703,0.3829,0.413,0.4417,0.4705,0.5018,0.5332,0.5643,0.5986,0.6302,0.6626,0.6956,0.7285,0.7589,0.7905,0.8221,0.8562,0.8885,0.924,0.9611,1.0009,1.0333,1.0638,1.0994,1.1358,1.1648,1.1997,1.2218,1.2471,1.2675,1.2867,1.2983,1.3096,1.3183,1.3263,1.3292,1.3354,1.3361,1.3392,1.3436,1.3406,1.3396,1.3397,1.3426,1.3398,1.3439,1.3394,1.3425,1.3425,1.3415,1.3402,1.3413,1.34,1.3379,1.3394,1.338,1.3349
growth.xlsx,LAB,E3-2 b KCl 25 mM (C10),TRUE,0.3875,0.3992,0.3565,0.3887,0.4074,0.4341,0.4607,0.4902,0.5192,0.5507,0.5825,0.6137,0.6516,0.683,0.7159,0.7482,0.78,0.812,0.8431,0.8778,0.9117,0.9453,0.9811,1.0123,1.0428,1.073,1.103,1.1288,1.1543,1.1799,1.2053,1.2245,1.2433,1.2587,1.2686,1.28,1.2903,1.2969,1.3029,1.3072,1.3099,1.3115,1.313,1.3138,1.3142,1.3148,1.3146,1.3144,1.3142,1.3146,1.3136,1.3131,1.313,1.3121,1.3115,1.311,1.3105,1.3102,1.3096,1.3093
growth.xlsx,LAB,E4-1 a KCl 25 mM (C11),TRUE,0.4162,0.3995,0.3816,0.4155,0.4392,0.4763,0.499,0.5317,0.5626,0.6002,0.6354,0.6699,0.7063,0.7426,0.7757,0.811,0.8452,0.8816,0.9195,0.9554,0.9914,1.0274,1.067,1.1052,1.1477,1.1886,1.2283,1.2652,1.302,1.3313,1.3584,1.3802,1.3962,1.4118,1.4227,1.429,1.4362,1.4398,1.4425,1.4441,1.4444,1.4439,1.4436,1.4439,1.4417,1.4411,1.4387,1.4379,1.4368,1.4358,1.4351,1.4345,1.4326,1.4319,1.4314,1.4305,1.4305,1.4295,1.4295,1.4282
growth.xlsx,LAB,E4-1 a KCl 25 mM (C12),TRUE,0.4216,0.4223,0.4238,0.4479,0.4685,0.5014,0.5281,0.5586,0.5962,0.6318,0.6673,0.7048,0.74,0.7723,0.8063,0.8404,0.8742,0.9084,0.944,0.9805,1.0158,1.0518,1.086,1.1219,1.1549,1.1879,1.218,1.2473,1.2753,1.3075,1.3296,1.3467,1.3625,1.3608,1.3718,1.3785,1.3834,1.3869,1.39,1.3911,1.3913,1.3906,1.3899,1.3883,1.387,1.3849,1.384,1.3825,1.3816,1.3812,1.3802,1.3801,1.3794,1.379,1.3784,1.3778,1.3776,1.3801,1.383,1.3787
growth.xlsx,LAB,E4-1 b KCl 25 mM (D01),TRUE,0.3758,0.3589,0.3646,0.3865,0.4039,0.4328,0.4609,0.4901,0.519,0.5496,0.5875,0.6225,0.6561,0.6906,0.7252,0.7582,0.7914,0.8245,0.8577,0.89,0.9226,0.9549,0.9845,1.0163,1.0459,1.0747,1.1041,1.1339,1.1623,1.1886,1.2128,1.2325,1.2525,1.2695,1.2826,1.2883,1.3038,1.3108,1.3165,1.3201,1.3229,1.3245,1.3202,1.3269,1.3271,1.3221,1.3213,1.321,1.3207,1.3201,1.3198,1.3195,1.319,1.3181,1.3176,1.3169,1.3165,1.3164,1.3158,1.3184
growth.xlsx,LAB,E4-1 b KCl 25 mM (D02),TRUE,0.3897,0.3601,0.3567,0.3788,0.4159,0.437,0.4726,0.4972,0.5288,0.5644,0.597,0.6309,0.6664,0.6999,0.7367,0.7694,0.8036,0.8374,0.8718,0.9036,0.939,0.9789,1.0137,1.0485,1.0841,1.1171,1.1504,1.1847,1.2187,1.2506,1.2783,1.3024,1.3215,1.3398,1.3497,1.3553,1.363,1.3665,1.3711,1.3729,1.374,1.3746,1.3754,1.3748,1.3748,1.3753,1.3749,1.3745,1.374,1.3735,1.3723,1.3717,1.371,1.3705,1.3698,1.3691,1.3687,1.3686,1.368,1.367
growth.xlsx,LAB,E5-1 a KCl 25 mM (D03),TRUE,0.3685,0.337,0.3276,0.3653,0.3871,0.4154,0.4426,0.4721,0.5038,0.5359,0.5704,0.6039,0.6384,0.6715,0.7055,0.7397,0.7734,0.8056,0.8377,0.8699,0.9052,0.939,0.9724,1.0051,1.04,1.0727,1.1042,1.1355,1.1679,1.1934,1.215,1.2331,1.2517,1.268,1.281,1.292,1.3012,1.3076,1.3098,1.3084,1.3137,1.3139,1.3182,1.3157,1.3126,1.3142,1.3153,1.3157,1.3214,1.3166,1.3175,1.3127,1.313,1.3137,1.3119,1.3115,1.3119,1.3121,1.3126,1.3108
growth.xlsx,LAB,E5-1 a KCl 25 mM (D04),TRUE,0.4075,0.3913,0.3564,0.3908,0.4173,0.4479,0.48,0.5135,0.5471,0.5834,0.6182,0.6566,0.6882,0.6953,0.7292,0.7641,0.7979,0.8369,0.8596,0.8906,0.9204,0.9523,0.981,1.0096,1.0388,1.0661,1.0909,1.1136,1.1372,1.1596,1.1793,1.2057,1.2191,1.242,1.2536,1.2621,1.2705,1.2855,1.2805,1.2864,1.3009,1.3041,1.2967,1.3091,1.3055,1.3091,1.3027,1.3108,1.3127,1.3119,1.3164,1.3135,1.3136,1.3124,1.3134,1.315,1.314,1.3144,1.3119,1.3149
growth.xlsx,LAB,E5-1 b KCl 25 mM (D05),TRUE,0.3703,0.3536,0.3352,0.3571,0.385,0.4165,0.4463,0.4791,0.5022,0.5393,0.5723,0.6059,0.6387,0.6751,0.7117,0.7426,0.7763,0.8078,0.8396,0.8687,0.9,0.9298,0.9608,0.9886,1.0157,1.0425,1.0687,1.0969,1.1222,1.1462,1.1702,1.1902,1.2066,1.2229,1.2363,1.2465,1.2546,1.2612,1.2669,1.271,1.2733,1.2748,1.2759,1.2769,1.2775,1.2775,1.2776,1.2776,1.2674,1.2677,1.2672,1.2677,1.2763,1.276,1.2753,1.2752,1.2748,1.2744,1.2743,1.2736
